Complexity,Loss,Equation
1,0.9488731,"x1"
2,0.75166476,"sin(x1)"
3,0.72378534,"x1 * 0.5270831"
4,0.7127743,"sin(x1 * 0.71540356)"
5,0.60573465,"(x0 + x1) * 0.44517815"
6,0.5972068,"(sin(x0) + x1) * 0.51561654"
7,0.5147559,"((x2 - x0) - x1) * -0.39768603"
9,0.50718963,"(((x2 * 0.7928159) - x1) - x0) * -0.44340104"
10,0.48168543,"-0.4326657 * ((x2 - (x0 + sin(x2))) - x1)"
11,0.47758308,"((x2 - (x0 + sin(sin(x2)))) - x1) * -0.48365903"
12,0.46776944,"((sin(x2 * -1.5607582) - x1) + (x2 - x0)) * -0.43043372"
13,0.46251348,"-0.4326657 * (((x2 - x0) + sin(sin(x2 * -1.4075173))) - x1)"
14,0.43536058,"(sin(x2 + (1.9848363 - x1)) + ((x2 - x0) - x1)) * -0.40899348"
16,0.4169067,"(((sin((x2 + 1.9848363) - x1) + (x2 - x0)) - x1) + -0.28061113) * -0.4213508"
17,0.4061173,"((sin(x2 + (1.9848363 - x1)) + (x2 - x0)) - (x1 + sin(x1))) * -0.4213508"
19,0.38250667,"(((x2 - x0) + (sin(x2 * -1.4075173) - x1)) + sin((x2 + 1.4968762) - x1)) * -0.4326657"
21,0.37287816,"(((x2 - (x0 + 0.0544476)) + sin((x2 - x1) + 1.1865717)) + (sin(x2 * -1.4075173) - x1)) * -0.4326657"
23,0.36940145,"((((x2 - x0) + sin(square(-1.0856376) + (x2 - x1))) + (sin(-1.4075173 * x2) - x1)) * sin(-0.4326657)) + 0.0544476"
