Complexity,Loss,Equation
1,0.9106272,"x1"
2,0.6883659,"sin(x1)"
4,0.55433774,"sin(x0 + x1)"
5,0.4498972,"(x1 + x0) / 1.9216144"
6,0.42073378,"sin((x1 + x0) / 1.5394539)"
8,0.39538553,"1.3229702 * sin((x0 + x1) / 1.8079112)"
9,0.3904119,"sin(0.60145485 * (x1 + (x0 + sin(x1))))"
10,0.38136175,"sin(((x1 * 1.4560306) + x0) / 2.180644) * 1.4053959"
12,0.37471896,"sin((x1 + x0) / 1.8287812) - (sin(sin(x1)) * -0.6487878)"
13,0.35374644,"sin((x1 + (x0 - (x2 * sin(x1)))) / 1.8079112) * 1.3391874"
14,0.34753838,"sin(((x0 + x1) - (x2 * sin(sin(x1)))) / 1.8079112) * 1.3391874"
15,0.32601556,"sin(((x0 - sin(x1 * (x2 - 0.77245796))) + x1) / 1.8079112) * 1.281779"
18,0.322325,"sin(x0 - (sin(sin(sin(x1))) * (x2 + -1.3916255))) + sin(x1 / (2.3780527 - x0))"
19,0.31608194,"sin((x0 / 1.5530757) - sin(sin(x1) * (x2 + -1.3916255))) + sin(x1 / (2.3780527 - x0))"
20,0.3020999,"sin((x0 / 1.5530757) - (sin(sin(sin(x1))) * (x2 + -1.3916255))) + sin(x1 / (2.3780527 - x0))"
21,0.30054376,"sin((x0 / 1.5530757) - ((-1.3916255 + x2) * sin(sin(sin(x1))))) + sin(sin(x1 / (2.3780527 - x0)))"
22,0.29381785,"sin(((x0 / 1.463464) * 1.0455277) - (sin(sin(sin(x1))) * (x2 + -0.9343718))) + sin(x1 / (2.3485618 - x0))"
24,0.28791964,"sin((x0 / 1.3788495) - (sin(sin(sin(sin(sin(x1 / 0.9943075))))) * (x2 + -1.3916255))) + sin(x1 / (2.3780527 - x0))"
25,0.28437448,"sin(sin(x1 / (2.3780527 - x0))) + sin(((x0 / 1.5530757) - (square(x0) * 0.1751198)) - sin(sin(x1) * (x2 + -1.3916255)))"
