Complexity,Loss,Equation
1,0.99999994,"5.441335e-7"
3,0.47868747,"x1 * -0.72287256"
5,0.46361148,"(x0 * -0.29607052) - x1"
6,0.43686482,"sin(x1 * -0.67998236) * 1.6393651"
7,0.38342103,"(x1 * -0.71208566) - (x0 / 3.349999)"
8,0.34781808,"((x1 + x0) * -0.34768227) - sin(x1)"
9,0.3353215,"square(square(x0) * 0.3325814) + (-0.7336777 * x1)"
10,0.3123657,"(x1 * -0.69811684) + ((square(x0) * 0.41376227) - 0.41723162)"
11,0.2880067,"(square(square(x0 * -0.6137925)) + (x1 * -0.7700881)) - 0.27013978"
12,0.28470233,"sin((x1 * -0.6480758) + square(0.26563692 * square(x0))) * 1.6771249"
13,0.27872503,"sin(square(square(square(0.5526226 * x0))) + (-0.65840304 * x1)) * 1.8250253"
14,0.24739897,"(sin(x1 * -0.6480758) + (square(square(x0) * 0.26563692) - 0.12735564)) * 1.6771249"
15,0.23209697,"(sin(sin(x1 * -0.6440859) + square(square(x0 * -0.55370307))) * 2.0062711) - 0.21340588"
18,0.18831794,"sin(square(square(x0 * 0.45963508)) + ((x1 * -0.4794524) - ((x2 * -0.29121512) * x1))) * 2.280349"
19,0.16164833,"sin((square(square(x0) * 0.2652115) + (x1 * -0.6306379)) - (x2 * (-0.55269897 * sin(x1)))) * 1.9115739"
20,0.14623041,"sin(sin(x1 * -0.7732523) + (square(square(x0 * -0.5425558)) - ((x2 * -0.5968774) * sin(x1)))) * 2.0263648"
21,0.12215552,"sin((square(square(square(x0 * -0.5425558))) + sin(x1 * -0.7732523)) - (x2 * (sin(x1) * -0.5968774))) * 2.0366416"
22,0.104608916,"sin(square(square(x0 * -0.5425558)) + (sin(x1 * -0.7732523) - (((x2 * sin(x1)) * -0.5968774) + 0.11544387))) * 2.0366416"
29,0.0987453,"(sin((x1 * -0.46369734) + (square(square(x0 * -0.54134023)) - (sin((x2 * (1.2592958 - (x2 * 0.55249405))) * (x1 * 0.4122663)) * -0.9160626))) * 2.1886878) - 0.18236373"
30,0.09650994,"(sin((x1 * -0.46369734) + (square(square(x0 * -0.54134023)) - sin(sin(((1.2592958 - (x2 * 0.55249405)) * 0.4122663) * ((x1 * x2) * -0.9160626))))) * 2.1886878) - 0.18236373"
