Complexity,Loss,Equation
1,0.012866421,"0.12957598"
3,0.011289809,"5.7613006 * x2"
4,0.011224949,"square(x2 * 14.064588)"
5,0.010411833,"(x0 * x3) / 0.09155552"
6,0.01034222,"sin(x3 * (x0 / 0.09168392))"
7,0.0048719766,"5.9490085 * (x2 + (176415.61 * x1))"
9,0.004868081,"((x0 + x2) + (x1 * 176415.61)) * 5.9486856"
10,0.004612959,"(x2 + (x1 * square(x3 + 281.20117))) * 5.8297524"
12,0.004611949,"((x1 * square((x3 - -1.4362319) + 281.20117)) + x2) * 5.8297524"
14,0.0045503243,"((x2 + (x1 * square(x3 + 282.26007))) * 5.8492556) - (0.8697927 / x3)"
15,0.0045501064,"((sin(x1 * square(x3 + 282.26007)) + x2) * 5.8492556) - (0.8697927 / x3)"
16,0.004539751,"(((x0 + x2) + (x1 * square(x3 + 282.26007))) * 5.8492556) - (0.8697927 / x3)"
17,0.0045395303,"((x0 + (x2 + sin(x1 * square(x3 + 282.26007)))) * 5.8492556) - (0.8697927 / x3)"
18,0.004533363,"((x0 + ((x0 + x2) + (x1 * square(x3 + 281.20117)))) * 5.8492556) - (0.6367369 / x3)"
19,0.004520036,"((square(x2) + ((x0 + x2) + (x1 * square(x3 + 281.20117)))) * 5.8492556) - (0.6367369 / x3)"
20,0.004489294,"(((square(281.20117 + x3) * x1) + x2) * 5.8492556) - sin(x0 * (square(-2.164932 * -2.7918513) - x3))"
21,0.0044228863,"square(sin((7.1906934 - (x1 * 0.898973)) * (((x2 + (x1 * (121544.836 - x1))) + x2) + (x1 * 121544.836))))"
22,0.0039121467,"((x2 + ((square(x1 * 602880.94) + (x1 * 215550.34)) - (x2 / square(x3)))) * 5.2321534) - sin(x2 / x3)"
23,0.0038147145,"((x2 + (square(x1 * 698952.44) + ((x1 * 184188.31) - (sin(x2) / square(x3))))) * 5.3116646) - sin(x2 / x3)"
