Complexity,Loss,Equation
1,1.0,"1.4873772e-10"
2,0.7037629,"sin(x0)"
3,0.6865352,"sin(sin(x0))"
4,0.6758911,"sin(x0) / 1.2860005"
5,0.6004247,"sin(x0 + sin(x1))"
6,0.5773309,"sin((x1 * 0.5256843) + x0)"
7,0.5759484,"sin(x0 + sin(x1 * 0.69066674))"
8,0.57284045,"sin(x0 + (-0.1601073 - (x1 * -0.48240218)))"
9,0.5726335,"sin(sin(0.7605171 * x1) + (-0.06814801 + x0))"
10,0.57231694,"sin(x0 + ((-0.4426002 * (x1 + 0.32215357)) + x1))"
12,0.55670136,"sin(x0 + (-0.31476977 * (x0 - ((x0 * x3) + x1))))"
13,0.5243135,"sin((square(x0 * -0.3757921) + 0.27964646) * (x1 - (x0 / -0.50564957)))"
15,0.49852842,"sin((((x1 - (x0 / -0.39533514)) * 0.32418534) + 0.25108266) + (square(x0) * -0.47119677))"
23,0.4942931,"(((sin((square(x0) * -0.5919927) + -1.0497079) * -0.23048465) / 0.7444521) * ((x1 - (x0 / -0.40214953)) - square(square(x0)))) / 1.3558682"
25,0.46576962,"((sin((square(x0) * -0.5919927) + -1.0497079) * -0.23048465) / 0.7444521) * (((x1 - (x0 / -0.4024478)) - (square(square(x0)) / 1.3558682)) - -0.5357392)"
