Complexity,Loss,Equation
1,1.0,"3.7663426e-17"
3,0.48289472,"x1 * -0.7183259"
5,0.48289415,"(x1 * 0.2810537) - x1"
6,0.41950417,"sin(x1 * x2) - x1"
7,0.38195348,"sin(sin(x1) * x2) - x1"
8,0.3387056,"((x2 * sin(x1)) - x1) * 0.7254252"
9,0.32106736,"sin(x2 * sin(x1)) - (x1 * 0.7569087)"
11,0.3210662,"(x1 + sin(x2 * sin(x1))) - (x1 * 1.756749)"
12,0.309077,"((0.17773548 * square(x0)) + sin(sin(x1) * x2)) - x1"
13,0.26196268,"(square(x0) * 0.17773548) + (((x2 * sin(x1)) - x1) * 0.7569087)"
14,0.24712992,"((0.17773548 * square(x0)) + sin(sin(x1) * x2)) - (x1 * 0.7569087)"
15,0.2129925,"(square(x0 * 0.6324735) + (((x2 * sin(x1)) - x1) * 0.75232154)) + -0.3051134"
16,0.19765867,"((sin(sin(x1) * x2) + (square(x0) * 0.3600551)) - (x1 * 0.69201535)) - 0.3397553"
17,0.19123866,"(((x2 * sin(x1)) - x1) + (square(x0 * (x0 * 0.39929816)) - 0.2308264)) * 0.7569087"
20,0.18251339,"((x2 + -0.8261842) * sin(sin(x1))) + (((square(x0 * 0.5218257) - 0.26739198) * 1.5175711) - (x1 * 0.5179238))"
