Complexity,Loss,Equation
1,0.020849992,"0.21792018"
3,0.012971274,"x3 * 0.0016271104"
4,0.0123402765,"square(x2 / 0.053010385)"
5,0.010764335,"x3 * (x2 / 15.247758)"
6,0.010560986,"sin((x2 * x3) / 15.247758)"
7,0.009816301,"(x2 / 22.456038) * (x3 - -79.331955)"
9,0.009050673,"(-0.04825811 - ((x2 * x3) * x2)) / -0.60447097"
10,0.009036539,"sin((x3 * (x2 * (x2 / 0.58527374))) + 0.088626966)"
11,0.00897445,"sin(sin((-0.04825811 - ((x3 * x2) * x2)) / -0.5683269))"
14,0.008372483,"((x3 * x2) - -2.0123267) * ((square(x3) * x1) - (x2 / -0.5878814))"
15,0.008213834,"sin(((square(x3) * x1) - (x2 / -0.5878814)) * ((x3 * x2) - -2.0123267))"
16,0.007527372,"((x1 * square(x3 + x3)) - (x2 / -0.83652073)) * ((x2 * x3) - -3.5381007)"
17,0.0056209113,"sin(sin((((x3 / 0.0012315344) * x1) - (x2 / -0.66149527)) * ((x2 * x3) + 2.5121691)))"
18,0.0054201684,"sin(sin(sin((((x3 / 0.0012315344) * x1) - (x2 / -0.66149527)) * ((x3 * x2) - -3.1261156))))"
24,0.0053462004,"((x3 * x1) * (x3 / 0.03932275)) - sin(sin(sin((x2 * ((((x3 / 1.6946712) * x2) - -2.1405852) + -1.0135902)) / -0.3572975)))"
25,0.0051809116,"((x3 * x1) * (x3 / 0.036989126)) - sin(sin(sin(sin(x2 * (((((x3 / 1.6911299) * x2) - -2.1425853) + -1.01159) / -0.3361514)))))"
27,0.0047990666,"sin(sin(sin(sin(((((x3 + x3) / 0.105977915) * x1) * (x3 + x3)) - (x2 * (((x2 * (x3 / 1.6910524)) + 1.1713753) / -0.33782274))))))"
